enormity	excessive wickedness; evil
ensconced by	shelter, settle
ephemeral	brief; fleeting
epicure	one devoted to sensual pleasure, particular food and drink
episodic	loosely connected; sporadic
epithet	disparaging or descriptive word or phrase; slur
epitome	embodiment or quintessence
equanimity	composure; self-possession; calmness
equivocate	to use ambiguous language with a deceptive intent
errant	wandering; straying
erudite	having or showing knowledge that is gained by studying
eschew	to shun or avoid
esoteric	intended for or understood by a small, specific group
essay	to test or try; to attempt; to experiment
estimable	worthy; formidable
etiolated	pale and drawn out due to a lack of light; having lost vigor or substance
eulogy	a speech honoring the dead
evanescent	tending to disappear like vapor; vanishing
evince	to show clearly
exacerbate	to make worse or more severe
exact	to demand; to call for; to require; to take
exasperation	a feeling of intense irritation or annoyance
excoriate	to censure scathingly
exculpate	to exonerate; to clear of blame
execrate	to denounce, to feel loathing for, to curse, to declare to be evil
exegesis	critical examination; explication
exemplar	typical or standard specimen; model
exigent	urgent, pressing; requiring immediate action or attention
exonerate	to remove blame
expatiate	speak or write at length or in detail
expiate	to atone or make amends for
expurgate	to remove obscenity, especially from a book
extant	still in existence, especially related to a document
extemporaneous	improvised; done without preparation
extirpate	to destroy, to exterminate, to cut out, to exscind
facade	1. the front of a building; 2. a false, superficial appearance
facetious	playful; humorous
fallacy	an invalid or incorrect notion; a mistaken belief
fallow	unseeded; inactive; dormant
fastidious	very attentive and concerned about accuracy and detail
fatuous	silly, inanely foolish
fawn	to flatter or praise excessively
feckless	ineffectual; irresponsible
felicitous	apt; suitably expressed; well chosen
fell	(v) to cause to fall by striking. (adj) inhumanly cruel
fervent	greatly emotional or zealous
fetid	stinking; smelly
fetter	to shackle; to put in chains
fiasco	a complete failure
fickle	marked by lack of steadfastness, constancy, or stability
filibuster	intentional obstruction, especially using prolonged speechmaking to delay legislative action
filigree	an ornamental work, especially of delicate lace-like patterns
flag	to sag or droop; to become spiritless; to decline
flimsy	lacking in physical strength or substance
flip	sarcastic, impertinent, as in flippant: a flip remark
florid	flowery; ornate; ruddy
flout	to show contempt for, as in a rule or convention
flustered by	to make tipsy or in a state of agitated confusion
foment	to incite; to rouse
forbearance	patience; willingness to wait
ford	to wade across the shallow part of a river or stream
forestall	to prevent or obstruct by taking action ahead of time
forswear	to renounce; repudiate; to refuse to accept or be associated with
fortuitous	happening by fortunate accident or chance
founder	to sink; to fail completely
fracas	noisy quarrel; brawl
fractious	quarrelsome,rebellious,unruly, refractory, irritable
frieze	a semi-sculptural, raised-surface strip of ornamental facade on a building
fulminate	to loudly attack or denounce
furtive	marked by stealth; covert; surreptitious
gainsay	to deny, to dispute, to contradict, to oppose
gambol	to skip about playfully
garner	to gather and save; to store up
garrulous	pointlessly talkative; talking too much
gauche	crude; awkward; tactless
germane	relevant to the subject at hand; appropriate in subject matter
glib	marked by ease or informality; fluent and voluble but insincere and shallow; lacking in depth
gossamer	delicate; insubstantial or tenuous
grandiloquence	pompous speech or expression
gratuitous	unnecessary; uncalled for
gregarious	sociable; outgoing; enjoying the company of other people
grouse	to complain or grumble
guile	artfulness; trickery; duplicity; sly or cunning intelligence
guy	a rope, cord, or cable attached to something as a brace or guide; to steady or reinforce using a guy
hackneyed	rendered trite or commonplace by frequent usage
halcyon	calm and peaceful
hallowed	holy; consecrated
harangue	to deliver a pompous speech or tirade; a long, pompous speech
harbinger	something that signals what is to come
harrow	to distress; to cause agony to
hedonism	devotion to pleasurable pursuits, especially to the pleasures of the senses
hegemony	the consistent dominance of one state or ideology over others
heretical	violating accepted dogma or convention
hermetic	sealed; airtight
heterodox	unorthodox, heretical, iconoclastic
histrionic	overly theatrical or melodramatic in character or style; shallow, volatile emotions, and attention-seeking behavior.
homily	a sermon or morally instructive lecture
hubris	overbearing presumption or pride; arrogance
hyperbole	an exaggerated statement, often used as a figure of speech
iconoclastic	attacking cherished beliefs
iconoclast	one who attacks or undermines traditional conventions or institutions
idolatrous	given to intense or excessive devotion to something
idyll	a carefree, lighthearted pastoral or romantic episode
ignobility	not honorable in character or purpose
ignominious	shameful; undignified
imbibe	absorb or assimilate
imbroglio	difficult or embarrassing situation
imminent	about to happen; impending
immutable	not capable of change
impassive	revealing no emotion
impecunious	lacking funds; without money
imperious	commanding; arrogant; haughty
imperturbable	marked by extreme calm, impassivity, and steadiness
impetuous	hastily or rashly energetic; impulsive and vehement
implacable	not capable of being appeased or significantly changed
importune	to ask incessantly; to beg; to nag
impugn	to challenge; to call into question
impunity	immunity from punishment or penalty
inchoate	in an initial stage; not fully formed
incipient	beginning to come into being or to become apparent
indefatigable	not easily exhaustible; tireless, dogged
indifferent	having no interest or concern; showing no bias or prejudice
indigence	a state of extreme poverty
indolent	lazy; listless
ineluctable	certain, inevitable
ineptitude	incompetence
inert	unmoving; lethargic; sluggish
infelicitous	unfortunate; inappropriate
ingenuous	artless; frank and candid; lacking in sophistication
inherent	ingrained within one's nature
inimical	tending to obstruct or harm; unfriendly, hostile
inimitable	one of a kind, peerless
iniquity	gross injustice; wickedness
innocuous	harmless; causing no damage
inscrutable	incapable of being discovered or understood
insensible	unconscious; unresponsive
insipid	without taste or flavor; lacking in spirit; bland 
insouciant	unconcerned, carefree, heedless
insular	provincial; narrow-minded
interdict	(n) an authoritative prohibition. (v) prohibit or forbid
intimate	to imply, suggest, or insinuate
intractable	not easily managed or directed; stubborn; obstinate
intransigent	refusing to compromise
intrepid	steadfast and courageous
inured	accustomed to accepting something undesirable
invidious	likely to arouse or cause resentment or anger in others
inveigle	to obtain by deception or flattery
inveterate	deep rooted, ingrained, habitual
irascible	easily angered; prone to temperamental outbursts
itinerant	traveling from place to place
jejune	1. lacking nutritive value; 2. juvenile, puerile
jettison	to throw overboard
jibe	to agree; to be in accord
jocular	humorous; joking
kinetic	characterized by motion
lachrymose	tearful or given to weeping
lackluster	lacking in vitality, force, or conviction; uninspired
laconic	using few words; terse
lambaste	to excoriate; to berate
lament	a passionate expression of grief and sorrow
lassitude	a state of physical or mental weariness; lack of energy
laud	to praise highly
levy	the imposition or collection of an assessment
libertine	someone unrestrained by morality or convention
limn	to draw; to outline in detail
limpid	transparent; serene; untroubled
lissome	supple; graceful
list	to tilt or lean to one side
loquacious	extremely talkative
lubricious	lewd; wanton; slippery
lucid	expressed clearly; easy to understand
lumber	to move heavily and clumsily
luminous	characterized by brightness and the emission of light
maculate	marked with spots or blotches; impure
magnanimity	generous or forgiving, esp. toward a rival or someone less powerful than oneself
magnanimous	to be generous or forgiving, esp. toward a rival or someone less powerful than oneself
maladjusted	failing or unable to cope with the demands of a normal social environment
maladroit	lacking in fitness or aptitude
malevolent	having or showing often vicious ill will, spite, or hatred
malinger	to feign illness to avoid work
malleable	capable of being shaped or formed; tractable; pliable
martial	associated with war and the armed forces
maverick	an independent individual who does not go along with a group or party
meet	fitting, proper
mellifluous	sweetly flowing, often used to describe a voice
mendacity	the condition of being untruthful; dishonesty
mendicant	a beggar, supplicant
mercurial	characterized by rapid and unpredictable change in mood
meretricious	cheap, gaudy, tawdry, flashy, showy, attracting by false show
meticulous	characterized by extreme care and precision; attentive to detail
mettle	strength of spirit; courage
milk	to exploit; to squeeze every last ounce of
minatory	menacing; threatening
mince	to pronounce or speak affectedly; to euphemize to speak too carefully. Also, to take tiny steps; to tiptoe
misanthrope	one who hates all other humans
mischievousness	harmful, injurious
misogynist	one who hates women
mitigate	to make or become less severe or intense; to moderate
mollify	to calm or soothe; to reduce in emotional intensity
morose	sad; sullen; melancholy
mundane	of the world; typical of or concerned with the ordinary
munificence	generosity
nadir	low point, perigee
nascent	coming into being; in early developmental stages
natty	trimly neat and tidy
nebulous	vague; cloudy; lacking clearly defined form
nefarious	wicked
neologism	a new word, expression, or usage
neophyte	a recent convert; a beginner; novice
nexus	a connection; tie or link
nice	exacting, fastidious, extremely precise
noisome	offensive, especially to one's sense of smell
nonplussed	baffled; at a loss for what to say or do
nostrum	panacea; questionable remedy
noxious	harmful; injurious
nugatory	of little or no consequence, having no force
nurture	1. something that nourishes; 2. the sum of the environmental factors influencing the behavior and traits expressed by an organism
obdurate	unyielding; hardhearted; stubbornly refusing to change one's opinion or course of action
obfuscate	to deliberately obscure; to make confusing
obloquy	sharp criticism; abusively detractive language
obsequious	obedient or attentive to an excessive or servile degree
obstinate	stubborn; hard-headed; uncompromising
obstreperous	noisy; defiant
obtain	to be established, accepted, or customary
obtuse	lacking sharpness of intellect; not clear or precise in thought or expression
obviate	to anticipate and make unnecessary
occlude	to obstruct or block
occult	hidden, concealed, beyond comprehension
odious	evoking intense aversion or dislike
officious	meddlesome; pushy in one's services
ombudsman	a person who investigates citizens' complaints
onerous	troubling; burdensome
opaque	impenetrable by light; not reflecting light
opprobrium	disgrace; contempt; scorn
opulence	wealth, abundance
oscillation	the act or state of swinging back and forth with a steady, uninterrupted rhythm
ossified	tending to become more rigid; conventional; turned into bone
ostensible	seemingly; appearing as such
ostentatious	characterized by or given to pretentiousness; designed to impress or attract notice
overweening	showing excessive confidence or pride
paean	a song or hymn of praise and thanksgiving
palliate	to make something seem less serious, to gloss over, to make less severe or intense
panegyric	formal praise, eulogy, encomium; panegyrical means expressing elaborate praise
pariah	an outcast; a rejected and despised person
parlous	full of danger or uncertainty; precarious
parody	a humorous imitation intended for ridicule or comic effect, especially in literature and art
parsimonious	cheap, miserly
parsimony	the quality of being careful with money or resources, economy in the use of means to an end
partisan	biased or prejudiced
paucity	scarcity
peccadillo	a slight offense; literally, a minor sin
pecuniary	having to do with money
pedagogy	the art or profession of training, teaching, or instructing
pedantic	overly concerned with the trivial details of learning or education; show-offish about one's knowledge
pedestrian	commonplace, trite, unremarkable, quotidian
pellucid	transparent, easy to understand, limpid
penchant	strong inclination; a liking
penurious	penny-pinching; excessively thrifty; ungenerous
penury	severe poverty
perennial	recurrent throughout the year or over many years; happening repeatedly or continually
perfidy	intentional breach of faith;treachery
perfunctory	cursory; done without care or interest
perigee	the point nearest the earth in an orbit of a body
peripatetic	itinerant; traveling on foot
pernicious	having a harmful effect
peroration	the concluding part of a speech; flowery, rhetorical speech
perplexity	the state of being full of difficulty or uncertainty
personable	pleasing in appearance or personality
perspicacious	acutely perceptive; having keen discernment
peruse	to examine with great care
pervade	to permeate throughout
pervasive	having the tendency to permeate or spread throughout
petulant	ill-tempered; irritable
phlegmatic	(of a person) having an unemotional and stolidly calm disposition.
pied	multicolored, usually in blotches
pilloried	attack or ridicule publicly; pillory is a wooden shackle
pine	to lose vigor as through grief; to yearn
pious	extremely reverent or devout; showing strong religious devotion
pirate	to illegally use or reproduce
pith	the essential or central part
pithy	precise and brief
placate	to appease; to calm by making concessions
plangent	having a loud reverberating sound 
plastic	moldable, pliable, not rigid
platitude	a superficial remark, esp. one offered as meaningful
plethora	an overabundance; a surplus
plight	to put or give in pledge
pluck	courage, spunk, fortitude
plummet	to plunge or drop straight down
poised	having a composed and self-assured manner
polemical	controversial; argumentative
pragmatic	practical rather than idealistic
prattle	to babble meaninglessly; to talk in an empty and idle manner
precipitate	acting with excessive haste or impulse.  To cause to happen before anticipated or required
precocity	ability to develop a skill earlier than usual
precursor	one that precedes and indicates or announces another
predilection	a preference or special liking for something; a bias in favor of something
preen	to dress up; to primp; to groom oneself with elaborate care
prerogative	a right or privilege exclusive to a particular individual or class
prescience	knowing of events prior to their occurring
presumptuous	overstepping due bounds; taking liberties
prevaricate	to deliberately avoid the truth; mislead
pristine	pure; uncorrupted; clean
prize	to pry, to press or force with a lever; something taken by force, spoils
probity	adherence to the highest principles and ideals
proclivity	a natural predisposition or inclination
prodigal	recklessly wasteful; extravagant; profuse; lavish
prodigious	abundant in size, force, or extent; extraordinary
proffer	hold out (something) to someone for acceptance; offer
profligate	excessively wasteful; recklessly extravagant
profuse	given or coming forth abundantly; extravagant
proliferate	to grow or increase swiftly and abundantly
prolific	producing large volumes or amounts; productive
prolix	long-winded, verbose; prolixity means verbosity
propensity	a natural inclination or tendency; penchant
propitiate	win or regain the favor of (a god, spirit, or person) by doing something that pleases them
prosaic	dull; unimaginative
protracted	extended in time
prowess	superior skill or daring
puerile	childish, immature, jejune, nugatory
pugnacious	contentious; quarrelsome; given to fighting
puissance	power, strength; puissant means powerful, strong
pundit	an authority on a subject; one who gives opinions
pungent	characterized by a strong, sharp smell or taste
pusillanimous	lacking courage and resolution
putrefy	to rot; to decay and give off a foul odor
quaff	to drink deeply
quagmire	a situation that is difficult to get out of
quail	to lose courage; to turn frightened
qualify	to limit
qualms	misgivings; reservations; cause for hesitancy
quash	to quell; to put an end to forcibly
queries	questions; inquiries; doubts in the mind; reservations
querulous	prone to complaining or grumbling; peevish
query	question; inquiry; doubt in the mind; reservation
quiescence	stillness; motionlessness; quality of being at rest
quixotic	foolishly impractical; marked by lofty romantic ideals
quotidian	occurring or recurring daily; commonplace
raffish	unconventional and slightly disreputable; carefree; vulgar
rail	to complain about bitterly
rancorous	characterized by bitter, long-lasting resentment
rankle	to irritate; to cause resentment
rarefy	to make or become thin, less dense; to refine
ratchet	a mechanism that consists of a bar or wheel having inclined teeth into which a pawl drops so that motion can be imparted to the wheel or bar, governed, or prevented and that is used in a hand tool (as a wrench or screwdriver) to allow effective motion in one direction only
recalcitrant	obstinately defiant of authority; difficult to manage
recant	to say that one no longer holds an opinion or belief, esp. one considered heretical
recondite	hidden; concealed; difficult to understand; obscure
reconnoiter	to engage in reconnaissance
redolence	the state of being fragrant, suggestive, or evocative
redoubtable	awe-inspiring; worthy of honor
redress	to set something right; to make amends for
refulgent	radiant; shiny; brilliant
refute	to disprove; to successfully argue against
regale	to delight or entertain
relegate	to forcibly assign, esp. to a lower place or position
remonstrate	to protest, to object
renege	to fail to honor a commitment; to go back on a promise
rent	torn (past tense of rend); an opening or tear caused by such
repartee	witty conversation
reprehensible	worthy of blame or censure
reprove	reprimand or censure (someone)
repudiate	to refuse to have anything to do with; to disown
rescind	to invalidate; to repeal; to retract
retaliate at	to return like for like, to get revenge
retaliate	to make an attack or assault in response to a similar attack
reticent	not revealing one's thoughts or feelings readily
revel	enjoying oneself in a loud and noisy way, especially with drinking and dancing
reverent	marked by, feeling, or expressing a feeling of profound awe and respect
rhetoric	the art or study of effective use of language for communication and persuasion
risible	causing laughter; laughable
rue	to regret; to feel remorse or sorrow for
sagacious	having sound judgment; perceptive, wise; like a sage
salacious	lustful, lascivious, bawdy
salient	prominent; relevant
salubrious	promoting health or well-being
salutary	remedial, wholesome, causing improvement
sanction	authoritative permission or approval; a penalty intended to enforce compliance; to give permission or authority to
sanguine	cheerful, confident, optimistic
sap	(v) to enervate or weaken the vitality of. (n) a fool or nitwit
satire	a literary work that ridicules or criticizes a human vice through humor or derision
saturnine	gloomy, dark, sullen, morose
schism	a split into factions
scurvy	contemptible, despicable
sedulous	diligent; persistent; hard-working
senescence	the condition or process of deterioration with age
sententious	aphoristic or moralistic; epigrammatic; tending to moralize excessively
shard	a piece of broken pottery or glass
sidereal	of, relating to, or expressed in relation to stars or constellations
sinecure	a job that pays a salary but requires little work
singular	exceptional, unusual, odd
sinuous	winding; undulating
skulduggery	underhanded or unscrupulous behavior; trickery
slake	to satisfy or quench
sodden	soaked or drenched
solicitous	concerned and attentive; eager
solvent	able to meet financial obligations; able to dissolve another substance
sophistry	fallacious reasoning; faulty logic
soporific	causing drowsiness; tending to induce sleep
sordid	characterized by filth, grime, or squalor;foul
sparse	thin; not dense; arranged at widely spaced intervals
specious	seeming true, but actually being fallacious; misleadingly attractive; plausible but false
spendthrift	one who spends money wastefully
sporadic	occurring only occasionally, or in scattered instances
spurious	lacking authenticity or validity; false; counterfeit
squalid	sordid; wretched and dirty as from neglect
squander	waste (something, esp. money or time) in a reckless and foolish manner
stand	a group of trees
static	not moving, active, or in motion; at rest
steep	to saturate or completely soak, as in to let a tea bag steep
stentorian	extremely loud and powerful
stipulated	demand or specify (a requirement), typically as part of a bargain or agreement
stoic	indifferent to or unaffected by pleasure or pain; steadfast
stolid	calm, dependable, showing little emotion or animation
stolidity	having or expressing little or no sensibility
strut	the supporting structural cross-part of a wing
stupefy	to stun, baffle, or amaze
stygian	gloomy, dark
stymied	to present an obstacle to
stymie	to block; to thwart
subpoena	a court order requiring appearance and/or testimony
subtle	not obvious; elusive; difficult to discern
succinct	brief; concise
superannuation	regular payment made into a fund by an employee toward a future pension
superfluous	exceeding what is sufficient or necessary
supplant	to take the place of; to supersede
surfeit	an overabundant supply; excess; to feed or supply to excess
sybarite	a person who leads a life of pleasure and luxury
sycophant	someone who tries to get ahead through flattery and fawning
synthesis	the combination of parts to make a whole
table	to remove from consideration
tacit	implied; not explicitly stated
taciturn	uncommunicative; silent
tenacious	adhering to or persisting in something valued
tenacity	the quality of adherence or persistence to something valued; persistent determination
tendentious	biased; showing marked tendencies
tender	to proffer or offer
tenuous	having little substance or strength; flimsy; weak
terse	brief and concise in wording
timorous	timid, fearful, diffident
tirade	a long and extremely critical speech; a harsh denunciation
toad	a contemptible person or thing
toady	sycophant; flatterer; a person who behaves obsequiously to someone important
to cow	to bring to a state or an action by intimidation
to deem	to come to think or judge, to consider
to fell	to cause to fall by striking
torpid	lethargic; sluggish; dormant
torque	a force that causes rotation
tortuous	winding; twisting; excessively complicated
tout	to publicly praise or promote 
transient	fleeting; passing quickly; brief
trenchant	sharply perceptive; keen; penetrating
truculent	fierce and cruel; eager to fight
truncate	to cut off abruptly
turgid	1. being in a state of distension; 2.excessively embellished in style or language
tyro	novice, greenhorn, rank amateur
ubiquitous	existing everywhere at the same time; constantly encountered; widespread
unfeigned	genuine; not false or hypocritical
untenable	indefensible; not viable; uninhabitable
untrammeled	not hampered or impeded
urbane	sophisticated; refined; elegant
vacillate	to move indecisively between one course of action or opinion and another
vagary	unpredictable action
variegated	multicolored; characterized by a variety of patches of different color
venal	capable of being bought or bribed
venerate	to revere; to worship
veracity	truthfulness, honesty
verisimilitude	appearance of truth or reality
vestigial	forming a very small remnant of something that was once much larger or more noticeable.
vexation	annoyance; irritation
vigilant	alertly watchful
vilify	to defame; to characterize harshly
virulent	extremely harmful or poisonous; bitterly hostile or antagonistic
viscous	thick; sticky
vitiate	to corrupt, to debase, to spoil, to make ineffective
vituperate	to use harsh condemnatory language; to abuse or conjure severely or abusively; to berate
volatile	readily changing to a vapor; changeable; fickle; explosive
voluble	fluent, verbal, having easy use of spoken language
voracious	having an insatiable appetite for an activity or pursuit; ravenous
waffle	to equivocate; to change one's position
waft	to cause to move as if by a light breeze
wag	wit, joker
wan	lacking vitality, poor health
wanton	deliberate and unprovoked; sexually immodest or promiscuous
waver	to move to and fro; to sway; to be unsettled in opinion
wend	to go; to proceed, typically slowly or by an indirect route
zealous	fervent; ardent; impassioned, devoted to a cause
